gene,genotype,experiment,value,measure
tmem115,control,1.0,158.13510404471532,norm_adiposity
tmem115,control,1.0,241.8574955604352,norm_adiposity
tmem115,control,1.0,219.3469640369547,norm_adiposity
tmem115,control,1.0,348.58790489882415,norm_adiposity
tmem115,control,1.0,198.5986928867059,norm_adiposity
tmem115,mutant,1.0,212.83646687856515,norm_adiposity
tmem115,mutant,1.0,307.4102873802239,norm_adiposity
tmem115,mutant,1.0,131.14533006382095,norm_adiposity
tmem115,mutant,1.0,214.75448812018033,norm_adiposity
tmem115,mutant,1.0,222.8952082529879,norm_adiposity
tmem115,mutant,1.0,219.59734553690953,norm_adiposity
tmem115,mutant,1.0,393.4755137669928,norm_adiposity
tmem115,mutant,1.0,387.38455436692044,norm_adiposity
tmem115,mutant,1.0,316.2993142477958,norm_adiposity
tmem115,mutant,1.0,414.831797740942,norm_adiposity
tmem115,mutant,1.0,425.7450902760021,norm_adiposity
tmem115,mutant,1.0,412.83206705394997,norm_adiposity
tmem115,mutant,1.0,310.9312624007594,norm_adiposity
tmem115,mutant,1.0,455.7609800875306,norm_adiposity
tmem115,mutant,1.0,613.5529458091553,norm_adiposity
sparc,control,1.0,109.750216597979,norm_adiposity
sparc,control,1.0,126.56500737255762,norm_adiposity
sparc,control,1.0,85.22086557251866,norm_adiposity
sparc,control,1.0,249.33294935381042,norm_adiposity
sparc,control,1.0,173.95878049386758,norm_adiposity
sparc,control,1.0,222.76190890684833,norm_adiposity
sparc,control,1.0,285.64838030135155,norm_adiposity
sparc,control,1.0,247.35852849827285,norm_adiposity
sparc,control,1.0,222.57455576503918,norm_adiposity
sparc,control,1.0,302.38454142681485,norm_adiposity
sparc,control,1.0,449.90281926531264,norm_adiposity
sparc,mutant,1.0,136.08282170731104,norm_adiposity
sparc,mutant,1.0,192.73920579662067,norm_adiposity
sparc,mutant,1.0,157.1081914328847,norm_adiposity
sparc,mutant,1.0,202.48410404373197,norm_adiposity
sparc,mutant,1.0,157.18058839578958,norm_adiposity
sparc,mutant,1.0,310.2329153419301,norm_adiposity
sparc,mutant,1.0,195.2278526861338,norm_adiposity
sparc,mutant,1.0,296.265817277142,norm_adiposity
sparc,mutant,1.0,291.2645266871311,norm_adiposity
sparc,mutant,1.0,194.36584978437028,norm_adiposity
tbx15,control,1.0,109.750216597979,norm_adiposity
tbx15,control,1.0,126.56500737255762,norm_adiposity
tbx15,control,1.0,85.22086557251866,norm_adiposity
tbx15,control,1.0,249.33294935381042,norm_adiposity
tbx15,control,1.0,173.95878049386758,norm_adiposity
tbx15,control,1.0,222.76190890684833,norm_adiposity
tbx15,control,1.0,285.64838030135155,norm_adiposity
tbx15,control,1.0,247.35852849827285,norm_adiposity
tbx15,control,1.0,222.57455576503918,norm_adiposity
tbx15,control,1.0,302.38454142681485,norm_adiposity
tbx15,control,1.0,449.90281926531264,norm_adiposity
tbx15,mutant,1.0,120.11395073108702,norm_adiposity
tbx15,mutant,1.0,129.9401915777147,norm_adiposity
tbx15,mutant,1.0,208.6380288294695,norm_adiposity
tbx15,mutant,1.0,270.8154980244558,norm_adiposity
tbx15,mutant,1.0,286.1029049907855,norm_adiposity
tbx15,mutant,1.0,264.39309555774184,norm_adiposity
tbx15,mutant,1.0,224.57777600964948,norm_adiposity
tbx15,mutant,1.0,196.697781878013,norm_adiposity
tbx15,mutant,1.0,461.61153084585135,norm_adiposity
cd81a,control,1.0,109.750216597979,norm_adiposity
cd81a,control,1.0,126.56500737255762,norm_adiposity
cd81a,control,1.0,85.22086557251866,norm_adiposity
cd81a,control,1.0,249.33294935381042,norm_adiposity
cd81a,control,1.0,173.95878049386758,norm_adiposity
cd81a,control,1.0,222.76190890684833,norm_adiposity
cd81a,control,1.0,285.64838030135155,norm_adiposity
cd81a,control,1.0,247.35852849827285,norm_adiposity
cd81a,control,1.0,222.57455576503918,norm_adiposity
cd81a,control,1.0,302.38454142681485,norm_adiposity
cd81a,control,1.0,449.90281926531264,norm_adiposity
cd81a,mutant,1.0,57.03370365883118,norm_adiposity
cd81a,mutant,1.0,148.17778711902574,norm_adiposity
cd81a,mutant,1.0,128.07683745241076,norm_adiposity
cd81a,mutant,1.0,181.34093076108363,norm_adiposity
cd81a,mutant,1.0,118.43072852204756,norm_adiposity
cd81a,mutant,1.0,251.3388189518176,norm_adiposity
cd81a,mutant,1.0,181.12378986256144,norm_adiposity
cd81a,mutant,1.0,299.483865011045,norm_adiposity
cd81a,mutant,1.0,198.76228078712046,norm_adiposity
cd81a,mutant,1.0,299.36294456996694,norm_adiposity
cd81a,mutant,1.0,143.3677650613053,norm_adiposity
cd81a,mutant,1.0,206.4887838823841,norm_adiposity
cd81a,mutant,1.0,227.79503556394252,norm_adiposity
sparc,control,2.0,114.86021513039711,norm_adiposity
sparc,control,2.0,66.93904548451322,norm_adiposity
sparc,control,2.0,141.93049427365165,norm_adiposity
sparc,control,2.0,180.15797451985694,norm_adiposity
sparc,control,2.0,235.25647266806175,norm_adiposity
sparc,control,2.0,115.96934013995607,norm_adiposity
sparc,control,2.0,144.26735889205918,norm_adiposity
sparc,control,2.0,287.6077217463875,norm_adiposity
sparc,control,2.0,289.11045832422013,norm_adiposity
sparc,control,2.0,315.6063789029841,norm_adiposity
sparc,control,2.0,305.90974445008834,norm_adiposity
sparc,control,2.0,305.3840538659381,norm_adiposity
sparc,control,2.0,374.0069894636059,norm_adiposity
sparc,mutant,2.0,120.81767485852875,norm_adiposity
sparc,mutant,2.0,102.39596812063729,norm_adiposity
sparc,mutant,2.0,232.04309980278805,norm_adiposity
sparc,mutant,2.0,120.36427010738915,norm_adiposity
sparc,mutant,2.0,191.03237312553276,norm_adiposity
sparc,mutant,2.0,129.86688672475452,norm_adiposity
sparc,mutant,2.0,114.80002674540597,norm_adiposity
sparc,mutant,2.0,97.08857257746278,norm_adiposity
sparc,mutant,2.0,260.1577552519027,norm_adiposity
sparc,mutant,2.0,245.1773998925918,norm_adiposity
sparc,mutant,2.0,221.93364473111137,norm_adiposity
sparc,mutant,2.0,248.598894235966,norm_adiposity
sparc,mutant,2.0,232.9162127191466,norm_adiposity
tbx15,control,2.0,114.86021513039711,norm_adiposity
tbx15,control,2.0,66.93904548451322,norm_adiposity
tbx15,control,2.0,141.93049427365165,norm_adiposity
tbx15,control,2.0,180.15797451985694,norm_adiposity
tbx15,control,2.0,235.25647266806175,norm_adiposity
tbx15,control,2.0,115.96934013995607,norm_adiposity
tbx15,control,2.0,144.26735889205918,norm_adiposity
tbx15,control,2.0,287.6077217463875,norm_adiposity
tbx15,control,2.0,289.11045832422013,norm_adiposity
tbx15,control,2.0,315.6063789029841,norm_adiposity
tbx15,control,2.0,305.90974445008834,norm_adiposity
tbx15,control,2.0,305.3840538659381,norm_adiposity
tbx15,control,2.0,374.0069894636059,norm_adiposity
tbx15,mutant,2.0,128.24532732647805,norm_adiposity
tbx15,mutant,2.0,165.97882685513457,norm_adiposity
tbx15,mutant,2.0,181.27951603392646,norm_adiposity
tbx15,mutant,2.0,193.23550261992213,norm_adiposity
tbx15,mutant,2.0,216.4621888044384,norm_adiposity
tbx15,mutant,2.0,254.3072559151567,norm_adiposity
tbx15,mutant,2.0,158.37583711865966,norm_adiposity
tbx15,mutant,2.0,345.303917824067,norm_adiposity
tbx15,mutant,2.0,488.92815020182303,norm_adiposity
cd81a,control,2.0,114.86021513039711,norm_adiposity
cd81a,control,2.0,66.93904548451322,norm_adiposity
cd81a,control,2.0,141.93049427365165,norm_adiposity
cd81a,control,2.0,180.15797451985694,norm_adiposity
cd81a,control,2.0,235.25647266806175,norm_adiposity
cd81a,control,2.0,115.96934013995607,norm_adiposity
cd81a,control,2.0,144.26735889205918,norm_adiposity
cd81a,control,2.0,287.6077217463875,norm_adiposity
cd81a,control,2.0,289.11045832422013,norm_adiposity
cd81a,control,2.0,315.6063789029841,norm_adiposity
cd81a,control,2.0,305.90974445008834,norm_adiposity
cd81a,control,2.0,305.3840538659381,norm_adiposity
cd81a,control,2.0,374.0069894636059,norm_adiposity
cd81a,mutant,2.0,202.38656435329435,norm_adiposity
cd81a,mutant,2.0,133.45176239677664,norm_adiposity
cd81a,mutant,2.0,94.46129573687868,norm_adiposity
